,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2022-04-12,110409.89232901996,88437.25429860628,90447.40907494973,91737.2936585
2022-04-13,111023.76222901998,90177.42345457786,93123.73074294973,92782.6236585
2022-04-14,110142.50668601997,88241.56292207785,92519.07367762964,91631.2136585
2022-04-18,110499.53933801997,87698.66872989184,93864.92612033065,91668.7836585
2022-04-19,112601.69733501997,90234.70306289184,94191.57936733063,93145.06365849999
2022-04-20,112488.09076814496,90160.33852089185,93661.26936733065,93076.55365850001
2022-04-21,111423.57870814495,87872.0021344137,93283.05158815563,91688.6736585
2022-04-22,109462.32362885393,86450.74419891369,91807.24083836866,89180.3236585
2022-04-25,109276.29105985395,86960.30044501412,91690.99091603456,89697.4636585
2022-04-26,107870.30806735394,84697.43526936005,89006.47097692158,87107.34365849999
2022-04-27,108314.98728466661,85276.56140836004,89356.3246239216,87352.6536585
2022-04-28,109235.4206266666,86960.16323248247,90626.78462392159,89551.6036585
2022-04-29,107106.70681706231,84184.60908248246,89018.37074592158,86252.0736585
2022-05-02,105348.64528379592,84989.30626248247,88853.25810192157,86769.2136585
2022-05-03,105515.42243079594,85640.41827448246,89699.21810192156,87167.0136585
2022-05-04,107820.81680279593,88655.84462584596,90974.35810192158,89812.3836585
2022-05-05,106118.87062279593,85164.49635759041,89136.44810192157,86629.9836585
2022-05-06,106098.99012423921,83538.64785659041,88025.93291727008,86115.05365850001
2022-05-09,103819.51785873923,81364.95653876185,86670.0579210468,83368.02365850001
2022-05-10,103524.35432423922,79399.50559281756,85841.49651488879,83560.2936585
2022-05-11,101499.31425169915,77168.75813203967,84970.35540207289,82238.7136585
2022-05-12,101797.06159591528,77091.6181240285,85420.87678257289,82152.52365850001
2022-05-13,105850.31377291528,79967.9908060285,87122.4467825729,84108.3736585
2022-05-16,104646.27477941527,78589.07655602849,87935.9816315729,83768.0336585
2022-05-17,106849.21472141528,80321.8889500285,89301.41986457289,85485.2036585
2022-05-18,101861.2416764746,76897.38477000585,86279.76294210085,82053.0736585
2022-05-19,101996.60763792272,77795.82458750586,86145.79515848578,81551.4036585
2022-05-20,101118.32415992273,77985.49458750586,86042.60064348577,81586.7636585
2022-05-23,101749.08801492273,78419.02458750586,86768.42207848576,83107.2436585
2022-05-24,99671.31086889822,74860.08476141751,86995.44688098578,82475.1836585
2022-05-25,102640.93638539819,77545.51969541752,88071.78650520615,83202.27365850001
2022-05-26,106140.40854563042,80487.96194390801,89470.35128920616,84857.56365849999
2022-05-27,108173.76237291493,82200.20128143765,91743.41603283628,86932.7536585
