version,arch,features,n_feat,in_acc,out_acc,gap,ic_bt,t_bt,ic_fwd,t_fwd
v1,CLS,price,14,0.5413865000092067,0.5071248057568082,0.034261694252398556,0.021576898902516357,2.0978760794677696,0.017135568876162275,0.06685139968330592
—,CLS,price+v3,25,0.5584577283423967,0.5035993993247149,0.05485832901768184,0.011094588678187214,2.0817950891850425,0.008823204136961926,0.7197124393762935
v4,CLS,price+insider,22,0.5739559417381955,0.5047748942165109,0.06918104752168464,0.022888572488320835,0.9835826069980522,0.012675766299058373,-0.22195964667264612
—,CLS,price+v3+insider,33,0.579424024716405,0.504315406013284,0.07510861870312102,0.01951269603263752,1.8586467423726019,0.010738206139354705,0.667055201995534
v2,REG,price,14,0.5154136539956244,0.4964702972634718,0.01894335673215264,-0.00913616117527451,-0.5240800030259243,-0.011092469623690298,-0.9870350926400768
v3,REG,price+v3,25,0.5216964668286797,0.5002142636970285,0.021482203131651167,0.0013311405885140673,1.7487362429777704,0.001810227822696814,1.2609779700488777
—,REG,price+insider,22,0.5228755298764032,0.4991427977692689,0.02373273210713428,-0.0016094094704225705,0.5222473214249471,-0.002523918075456501,-0.8983079694524893
—,REG,price+v3+insider,33,0.5270765913189065,0.5020416822150429,0.025034909103863634,0.007044857654153933,1.8530928819639638,0.005613265214975783,1.1159979663093726
