version,arch,features,acc,acc_se,ic,ic_se,days
v1,CLS,price,0.5071313188680784,0.0030960976111716935,0.021576898902516357,0.010060530910387533,753
—,CLS,price_v3,0.503612963939874,0.0030674378886333935,0.011094588678187214,0.010742440664576006,753
v4,CLS,price_insider,0.5047769698179846,0.0033932328457018735,0.022888572488320835,0.01080355721184709,753
—,CLS,price_v3_insider,0.504319916526931,0.003398653442064655,0.01951269603263752,0.011438085389330162,753
v2,REG,price,0.49647624008249835,0.0020338262277223543,-0.00913616117527451,0.006325141584049687,753
v3,REG,price_v3,0.5002365373632205,0.0032613959098392376,0.0013311405885140673,0.01038090000766357,753
—,REG,price_insider,0.49913953194449134,0.0026119526298957444,-0.0016094094704225705,0.007942339371355467,753
—,REG,price_v3_insider,0.5020477304398542,0.0032358575856614,0.007044857654153933,0.010207351635369469,753
